customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0001,Male,0,No,No,2,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,51.29,108.4,Yes
C0002,Female,1,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),106.47,692.63,Yes
C0003,Male,0,No,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),32.49,593.21,No
C0004,Male,0,Yes,No,43,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,96.15,4162.66,No
C0005,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,78.94,292.25,No
C0006,Female,1,Yes,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,103.05,2547.68,Yes
C0007,Male,0,Yes,Yes,6,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),75.07,446.37,Yes
C0008,Male,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),91.82,2918.93,Yes
C0009,Male,0,Yes,No,23,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),73.35,1781.32,No
C0010,Female,0,Yes,Yes,14,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,93.83,1355.45,No
C0011,Male,0,Yes,Yes,20,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,78.47,1555.67,No
C0012,Male,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),77.49,3190.84,No
C0013,Male,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),26.61,238.64,No
C0014,Male,0,No,Yes,29,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,58.69,1770.8,Yes
C0015,Female,0,Yes,No,3,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Mailed check,69.15,157.04,Yes
C0016,Male,0,Yes,No,24,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),82.86,2080.33,Yes
C0017,Female,0,Yes,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.73,770.27,No
C0018,Female,0,No,Yes,11,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Electronic check,91.6,1043.38,Yes
C0019,Female,1,Yes,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,45.42,1393.87,Yes
C0020,Male,0,No,No,16,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,81.24,1276.48,No
C0021,Female,1,Yes,No,55,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),22.92,1200.16,No
C0022,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.43,75.48,No
C0023,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),79.11,154.62,Yes
C0024,Female,1,Yes,No,36,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,98.0,3607.78,No
C0025,Female,0,No,No,36,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,100.68,3721.79,Yes
C0026,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),32.21,374.84,No
C0027,Female,0,No,No,66,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,56.51,3662.85,No
C0028,Female,0,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.14,635.88,Yes
C0029,Female,0,No,No,72,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,80.3,5775.57,Yes
C0030,Female,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),77.83,1227.96,No
C0031,Male,0,Yes,Yes,4,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,77.62,298.24,No
C0032,Male,0,Yes,No,11,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Electronic check,111.42,1205.89,No
C0033,Female,0,Yes,Yes,72,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),62.86,4395.43,No
