tenure,MonthlyCharges,TotalCharges,SeniorCitizen,Partner,Dependents,PhoneService,PaperlessBilling,customerID,Churn,Cluster
2,51.29,108.4,0,,,,,C0001,1,1
7,106.47,692.63,1,,,,,C0002,1,2
19,32.49,593.21,0,,,,,C0003,0,1
43,96.15,4162.66,0,,,,,C0004,0,3
4,78.94,292.25,0,,,,,C0005,0,0
26,103.05,2547.68,1,,,,,C0006,1,2
6,75.07,446.37,0,,,,,C0007,1,0
32,91.82,2918.93,0,,,,,C0008,1,3
23,73.35,1781.32,0,,,,,C0009,0,0
14,93.83,1355.45,0,,,,,C0010,0,0
20,78.47,1555.67,0,,,,,C0011,0,0
41,77.49,3190.84,0,,,,,C0012,0,3
9,26.61,238.64,0,,,,,C0013,0,1
29,58.69,1770.8,0,,,,,C0014,1,0
3,69.15,157.04,0,,,,,C0015,1,0
24,82.86,2080.33,0,,,,,C0016,1,0
27,28.73,770.27,0,,,,,C0017,0,1
11,91.6,1043.38,0,,,,,C0018,1,0
31,45.42,1393.87,1,,,,,C0019,1,2
16,81.24,1276.48,0,,,,,C0020,0,0
55,22.92,1200.16,1,,,,,C0021,0,2
2,29.43,75.48,0,,,,,C0022,0,1
2,79.11,154.62,0,,,,,C0023,1,0
36,98.0,3607.78,1,,,,,C0024,0,2
36,100.68,3721.79,0,,,,,C0025,1,3
12,32.21,374.84,0,,,,,C0026,0,1
66,56.51,3662.85,0,,,,,C0027,0,3
22,29.14,635.88,0,,,,,C0028,1,1
72,80.3,5775.57,0,,,,,C0029,1,3
15,77.83,1227.96,0,,,,,C0030,0,0
4,77.62,298.24,0,,,,,C0031,0,0
11,111.42,1205.89,0,,,,,C0032,0,0
72,62.86,4395.43,0,,,,,C0033,0,3
9,30.82,273.8,0,,,,,C0034,1,1
62,54.59,3357.8,0,,,,,C0035,0,3
31,88.34,2777.7,0,,,,,C0036,0,3
11,92.48,922.59,1,,,,,C0037,1,2
15,86.79,1330.88,0,,,,,C0038,0,0
18,78.44,1438.55,1,,,,,C0039,0,2
21,88.73,1841.35,0,,,,,C0040,0,0
1,72.29,71.66,0,,,,,C0041,0,0
54,32.65,1817.28,0,,,,,C0042,0,1
18,64.02,1152.93,0,,,,,C0043,0,0
53,35.26,1883.86,0,,,,,C0044,0,1
19,95.04,1793.8,0,,,,,C0045,0,0
11,61.01,607.04,0,,,,,C0046,0,0
16,97.2,1567.6,1,,,,,C0047,0,2
35,81.45,2728.1,0,,,,,C0048,0,3
7,95.16,668.36,0,,,,,C0049,1,0
62,71.7,4478.68,0,,,,,C0050,0,3
12,20.63,329.21,0,,,,,C0051,0,1
62,87.19,5459.91,0,,,,,C0052,1,3
42,91.26,3943.6,0,,,,,C0053,0,3
29,95.14,2716.19,1,,,,,C0054,1,2
12,61.94,779.73,0,,,,,C0055,1,0
17,71.54,1146.4,0,,,,,C0056,0,0
36,76.33,2779.76,0,,,,,C0057,0,3
15,34.59,524.81,0,,,,,C0058,0,1
26,63.5,1640.16,0,,,,,C0059,0,0
31,96.61,2988.25,0,,,,,C0060,0,3
14,69.41,967.9,0,,,,,C0061,1,0
15,63.45,963.68,0,,,,,C0062,1,0
4,68.65,334.87,0,,,,,C0063,0,0
5,20.5,39.64,0,,,,,C0064,0,1
47,73.38,3385.56,0,,,,,C0065,0,3
36,60.1,2127.13,0,,,,,C0066,0,3
0,64.61,62.89,0,,,,,C0067,1,0
40,77.31,3061.31,1,,,,,C0068,0,2
0,33.9,0.0,1,,,,,C0069,0,2
